Дата,Номер,ТранспортноеСредство,Колонна,Водитель,ДатаВыезда,ДатаВозвращения,СпидометрВыезда,СпидометрВозвращения,ОстатокПриВыезде,ОстатокПриВозвращении,Пробег,Выдано,Сдано,ПробегПоGPS,ОстатокПриВыездеGPS,ОстатокПриВозвращенииGPS,ВыданоGPS,ВсегоЗаправокGPS,СданоGPS,ВсегоСливовGPS
01.01.2021 7:00:00,"000235***""",6806НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,11211,11218,31,80,,80,,,,,,,,
01.01.2021 7:00:00,000289*,7194НР52,Тракторы с навесным оборудованием (баровая),Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,5768,5772,22,40,,40,,,,,,,,
01.01.2021 7:00:00,002433//,6810НР52,"Экскаваторы-погрузчики ковши: 1куб.м/ 0,5 куб.м",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,15591,15598,45,126,,150,,,,,,,,
01.01.2021 7:00:00,002434//,6807НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,12093,12098,90,66,,,,,,,,,,
01.01.2021 7:00:00,002435//,5913НР52,Тракторы с навесным оборудованием (насос),Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,19672,19674,49,44,,,,,,,,,,
01.01.2021 7:00:00,009658//,С770СА152,Манипуляторы бортовые г/п до 5 тонн,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,5464,5464,,,,,,,,,,,,
01.01.2021 7:00:00,010074*,А742УА152,Бортовые а/м г/п до 10 тонн,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,5968,5968,,,,,,,,,,,,
01.01.2021 7:00:00,013434//,Р103ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,27113,27149,38,37,,,,,,,,,,
01.01.2021 7:00:00,013434//,Р103ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,27113,27149,375,363,36,,,,,,,,,
01.01.2021 7:00:00,013435//,О082ХМ152,Гидравлические станции (мастерские),Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,19145,19145,,,,,,,,,,,,
01.01.2021 7:00:00,013436//,О173АК152,АСМ,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,39320,39341,64,58,,,,,,,,,,
01.01.2021 7:00:00,013437//,О799АВ 152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,31798,31812,20,54,,40,,,,,,,,
01.01.2021 7:00:00,013438//,С032АР152,Самосвалы для перевозки грузов весом до 15 тонн,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,36782,36847,102,165,,100,,,,,,,,
01.01.2021 7:00:00,013439//,К352ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,383021,383130,39,19,,,,,,,,,,
01.01.2021 7:00:00,013440//,К360ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,328249,328318,45,49,,20,,,,,,,,
01.01.2021 7:00:00,013441//,С315ВО152,Подпиточные машины,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,4440,4440,,,,,,,,,,,,
01.01.2021 7:00:00,013465//,О351АЕ 152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,80440,80482,25,44,,30,,,,,,,,
01.01.2021 7:00:00,016830//,К357ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,383976,383995,52,45,,,,,,,,,,
01.01.2021 7:00:00,"029265***""",К356ОР152,Бортовые а/м г/п до 10 тонн,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,99490,99490,,,,,,,,,,,,
01.01.2021 7:00:00,"029334***""",К362ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,293075,293126,26,39,,25,,,,,,,,
01.01.2021 7:00:00,"029421***""",К355ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,82347,82440,38,41,,20,,,,,,,,
01.01.2021 7:00:00,029565*,К856СХ152,"АРТК с оборудованием на базе а/м г/м от 3,5тн",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,63795,63795,,,,,,,,,,,,
01.01.2021 7:00:00,"029703***""",О016АВ152,АСМ,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,45084,45084,,,,,,,,,,,,
01.01.2021 7:00:00,"029712***""",О540УН152,Самосвалы для перевозки грузов весом до 15 тонн,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,85223,85265,89,173,,100,,,,,,,,
01.01.2021 7:00:00,"029715***""",К218ОТ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,99023,99089,27,48,,40,,,,,,,,
01.01.2021 7:00:00,"029723***""",О079ХМ152,Гидравлические станции (мастерские),Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,26994,27022,79,69,,,,,,,,,,
01.01.2021 7:00:00,"029740***""",С963АМ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,37175,37253,236,211,78,,,,,,,,,
01.01.2021 7:10:00,"029124***""",С517АМ152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:10:00,01.01.2021 16:30:00,33335,33369,151,144,34,,,,,,,,,
01.01.2021 7:40:00,"029547***""",Р049ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,01.01.2021 7:40:00,01.01.2021 19:40:00,23821,23858,18,17,,,,,,,,,,
01.01.2021 7:40:00,"029547***""",Р049ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,01.01.2021 7:40:00,01.01.2021 19:40:00,23821,23858,63,111,37,60,,,,,,,,
01.01.2021 7:40:00,"029631***""",Р071ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,01.01.2021 7:40:00,01.01.2021 20:00:00,22750,22802,28,27,,,,,,,,,,
01.01.2021 7:40:00,"029631***""",Р071ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,01.01.2021 7:40:00,01.01.2021 20:00:00,22750,22802,105,88,52,,,,,,,,,
01.01.2021 19:00:00,"000237****""",7192НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,11153,11157,92,75,,,,,,,,,,
